date,sza,tau,T305,T380,T440
2016-01-01,35.0,0.0,1.035,1.008,1.0028143959439488
2016-02-04,38.8,128.39,0.136,0.127,0.12022037327681658
2016-03-09,50.0,1.08,1.046,0.808,0.8921156117855449
2016-04-12,60.0,0.0,0.895,0.991,0.6681107263200978
2016-06-19,70.7,5.32,0.557,0.536,0.46744687078804154
2016-07-23,67.1,0.85,1.104,0.573,0.48754750607811914
2016-08-26,65.0,22.93,0.25,0.167,0.16072454181012746
2016-09-29,55.0,51.96,0.698,0.662,0.6681349690312233
2016-11-02,45.0,2.54,0.726,0.746,0.8340480475166564
2016-12-06,35.0,0.0,0.553,0.397,0.3861184589590144
2017-01-09,30.0,14.69,0.381,0.651,0.5669635316100887
2017-02-12,35.0,45.92,0.239,0.22,0.21029806089729322
2017-03-18,46.8,0.0,1.272,1.035,1.026187549079888
2017-04-21,70.0,0.32,0.79,0.981,0.9547520531461104
2017-05-25,80.0,0.0,1.4,0.738,0.4644269584749056
2017-06-28,75.0,0.0,1.4,0.897,0.5743955585530806
2017-08-01,70.0,0.0,0.653,1.041,1.0048456608353251
2017-09-04,60.0,0.0,0.738,0.996,0.9862364164745906
2017-10-08,50.0,0.0,0.795,0.842,0.787557272765929
2017-11-11,35.0,0.0,0.873,1.015,1.0039580200495832
2017-12-15,30.0,34.75,0.138,0.153,0.3211638855390867
2018-01-18,28.2,31.81,0.247,0.265,0.254679224619906
2018-02-21,45.0,13.23,0.376,0.339,0.24135971225223962
2018-03-27,55.0,0.94,1.4,1.106,0.6246777206199475
2018-04-30,70.0,2.42,0.747,0.647,0.48702377968809824
2018-06-03,75.0,10.92,0.316,0.391,0.36084373295194505
2018-07-07,75.0,0.0,1.064,1.009,0.9864820682182163
2018-08-10,65.0,0.0,1.324,0.985,0.961879950830865
2018-09-13,52.3,5.39,0.597,0.524,0.48859952535115875
2018-10-17,55.0,3.35,0.919,1.011,0.7589058813594036
2018-11-20,45.0,0.0,0.161,0.195,0.26232626305764534
